Comment,Hate,clean_comment,Tokens,Length
"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",no,ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti murder karta hay aur phansi nahi lagti,"['ladla', 'wo', 'hay', 'jo', 'fard', 'jurm', 'kay', 'bad', 'bhi', 'girftar', 'nahi', 'hota', 'money', 'trail', 'nahi', 'deta', 'aur', 'saza', 'nahi', 'milti', 'murder', 'karta', 'hay', 'aur', 'phansi', 'nahi', 'lagti']",27
aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,no,aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai,"['aur', 'ye', 'barun', 'ka', 'comeback', 'show', 'tha', 'koi', 'q', 'nahi', 'dekhna', 'chahega', 'lekin', 'fir', 'b', 'nahi', 'dekh', 'paye', 'mai', 'shivani', 'ko', 'q', 'hate', 'karu', 'muze', 'uski', 'acting', 'nahi', 'achchi', 'lagi', 'jo', 'muze', 'laga', 'wo', 'maine', 'kaha', 'wo', 'mera', 'opinion', 'hai']",40
Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,no,sir ji ab ye possible nahi hai bahut nafrat hai dono ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab mar gaye neharu ji bhi ab fir se ek kartay hai dono mulk ko USER,"['sir', 'ji', 'ab', 'ye', 'possible', 'nahi', 'hai', 'bahut', 'nafrat', 'hai', 'dono', 'ab', 'ek', 'hi', 'rasta', 'hai', 'sarhad', 'ke', 'lakir', 'ko', 'mita', 'kar', 'hi', 'ye', 'khatam', 'ho', 'sakta', 'hai', 'jinna', 'sahab', 'mar', 'gaye', 'neharu', 'ji', 'bhi', 'ab', 'fir', 'se', 'ek', 'kartay', 'hai', 'dono', 'mulk', 'ko', 'USER']",45
"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",yes,code phatta hai toh phatne mujhe project se nafrat ho gayi hai mujhe development team se hatne,"['code', 'phatta', 'hai', 'toh', 'phatne', 'mujhe', 'project', 'se', 'nafrat', 'ho', 'gayi', 'hai', 'mujhe', 'development', 'team', 'se', 'hatne']",17
Arsi bahar jani chahiye.... I hate arsi khan,yes,arsi bahar jani chahiye hate arsi khan,"['arsi', 'bahar', 'jani', 'chahiye', 'hate', 'arsi', 'khan']",7
Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,no,achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate,"['achha', 'bta', 'diya', 'hum', 'n', 'show', 'hi', 'nhi', 'dekha', 'tha', 'khbri', 'krta', 'kuch', 'ni', 'sirf', 'maa', 'bnta', 'h', 'kr', 'hina', 'ko', 'hate']",22
"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",yes,karachi say agencies panjabi pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho,"['karachi', 'say', 'agencies', 'panjabi', 'pathano', 'ko', 'qatal', 'kerkay', 'onki', 'lashain', 'gaoon', 'bhaijti', 'hain', 'takey', 'mohajiro', 'kaykhilaf', 'nafrat', 'paida', 'ho']",19
Kaahe ke Hindu bhamhanwadi se nafrat hai bus,no,kaahe ke hindu bhamhanwadi se nafrat hai bus,"['kaahe', 'ke', 'hindu', 'bhamhanwadi', 'se', 'nafrat', 'hai', 'bus']",8
aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,no,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se,"['aj', 'arshi', 'ne', 'jo', 'laat', 'eske', 'pichwade', 'mei', 'mari', 'thi', 'wo', 'photo', 'twit', 'kro', 'bhai', 'juldi', 'se']",17
Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,no,ar tag kro ki konkon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh,"['ar', 'tag', 'kro', 'ki', 'konkon', 'esh', 'hyena', 'ko', 'munh', 'mei', 'haddi', 'dalna', 'chahta', 'h', 'ya', 'laat', 'marna', 'arshi', 'ki', 'trh']",20
Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,no,gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,"['gf', 'khoon', 'peene', 'k', 'liye', 'hoti', 'hai', 'aur', 'apne', 'babu', 'ko', 'thana', 'thilane', 'k', 'liye', 'bas']",16
Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,yes,haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai lets screw haters USER,"['haa', 'bhai', 'ye', 'chutiye', 'log', 'ki', 'hatred', 'apni', 'liye', 'milan', 'ki', 'bela', 'ban', 'k', 'aayi', 'hai', 'lets', 'screw', 'haters', 'USER']",20
Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,no,abe bigg boss show baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare,"['abe', 'bigg', 'boss', 'show', 'baki', 'contestants', 'bhi', 'hai', 'un', 'se', 'related', 'news', 'deta', 'nhisirf', 'sari', 'updates', 'hina', 'se', 'related', 'deta', 'haiwo', 'bhi', 'hate', 'walikhabari', 'hai', 'bakri', 'chabar', 'chabar', 'karta', 'rehta', 'hina', 'k', 'bare']",33
Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,no,stone miracle hazrat imam hussain ra wo pathar jis se abhi tak khoon behta hai via USER,"['stone', 'miracle', 'hazrat', 'imam', 'hussain', 'ra', 'wo', 'pathar', 'jis', 'se', 'abhi', 'tak', 'khoon', 'behta', 'hai', 'via', 'USER']",17
Pappu ka ye saja phansi se kam nahi,no,pappu ka ye saja phansi se kam nahi,"['pappu', 'ka', 'ye', 'saja', 'phansi', 'se', 'kam', 'nahi']",8
Sir phansi nahi. .. sirf looted money wapas chaiya,no,sir phansi nahi sirf looted money wapas chaiya,"['sir', 'phansi', 'nahi', 'sirf', 'looted', 'money', 'wapas', 'chaiya']",8
"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",yes,bhai ye log honour killing mein vishwas rakhne walo se hain khud dusri ki beheno ko din raat chedege kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain,"['bhai', 'ye', 'log', 'honour', 'killing', 'mein', 'vishwas', 'rakhne', 'walo', 'se', 'hain', 'khud', 'dusri', 'ki', 'beheno', 'ko', 'din', 'raat', 'chedege', 'kisine', 'inki', 'behen', 'pe', 'tippani', 'bhi', 'kardi', 'toh', 'murder', 'vegere', 'ki', 'dhamki', 'dete', 'hain']",33
Aap log kabhi America ki dalali karto kabhi nafrat,no,aap log kabhi america ki dalali karto kabhi nafrat,"['aap', 'log', 'kabhi', 'america', 'ki', 'dalali', 'karto', 'kabhi', 'nafrat']",9
Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,no,agar isse love kehte toh hum jo karte usse kya hate USER,"['agar', 'isse', 'love', 'kehte', 'toh', 'hum', 'jo', 'karte', 'usse', 'kya', 'hate', 'USER']",12
bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,no,bc pehli baar kisne hail hitler kaha hai nahi toh adolfhitler ko sab sadakchaap wala gaaliyan dete hai,"['bc', 'pehli', 'baar', 'kisne', 'hail', 'hitler', 'kaha', 'hai', 'nahi', 'toh', 'adolfhitler', 'ko', 'sab', 'sadakchaap', 'wala', 'gaaliyan', 'dete', 'hai']",18
#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,yes,narendra modi u r hopeless pm apne garib ko maar daala hate u sirf aap bol bacchan dete ho karte kuch bhi nhi u r fake person,"['narendra', 'modi', 'u', 'r', 'hopeless', 'pm', 'apne', 'garib', 'ko', 'maar', 'daala', 'hate', 'u', 'sirf', 'aap', 'bol', 'bacchan', 'dete', 'ho', 'karte', 'kuch', 'bhi', 'nhi', 'u', 'r', 'fake', 'person']",27
Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,no,provinces banana achi baat hay magar pakistani bun jana fakhar ki baat hui na baat baat p nafrat achi nahi,"['provinces', 'banana', 'achi', 'baat', 'hay', 'magar', 'pakistani', 'bun', 'jana', 'fakhar', 'ki', 'baat', 'hui', 'na', 'baat', 'baat', 'p', 'nafrat', 'achi', 'nahi']",20
Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,no,acha tou un per quota system laga ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say unki industry nationalise hoi unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,"['acha', 'tou', 'un', 'per', 'quota', 'system', 'laga', 'ya', 'unko', 'punjab', 'say', 'baher', 'nikala', 'jaisay', 'mohajiron', 'ko', 'nikala', 'intr', 'sindh', 'say', 'unki', 'industry', 'nationalise', 'hoi', 'unko', 'punjabion', 'nay', 'nafrat', 'say', 'pukra', 'jaisay', 'sindhi', 'pukarty', 'thy', 'punjab', 'ny', 'unko', 'qabool', 'kia', 'lakin', 'sindhi', 'ny', 'hum', 'ko', 'nahi', 'qabol', 'kia']",47
Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,no,bhutto sb juke nahi phansi char gayeniazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo gande message bi chorne pare ge,"['bhutto', 'sb', 'juke', 'nahi', 'phansi', 'char', 'gayeniazi', 'se', 'kaho', 'mafi', 'nama', 'wapis', 'le', 'kar', 'phansi', 'char', 'jaye', 'phir', 'maanoo', 'gande', 'message', 'bi', 'chorne', 'pare', 'ge']",25
Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,no,pervez musharraf nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast haramkhoor nawaz shareef ko phansi moto gang k sath,"['pervez', 'musharraf', 'nawaz', 'shareef', 'ki', 'tarhan', 'haramkhoor', 'choor', 'aur', 'awan', 'ka', 'paisa', 'lotnay', 'wala', 'nahe', 'tha', 'atleast', 'haramkhoor', 'nawaz', 'shareef', 'ko', 'phansi', 'moto', 'gang', 'k', 'sath']",26
Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,no,jis country sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india tabhi darindo ka kuch ilaaj ho sakta hai,"['jis', 'country', 'sab', 'se', 'kam', 'rape', 'hote', 'hn', 'wahan', 'ka', 'qanoon', 'laagu', 'hona', 'chahiye', 'india', 'tabhi', 'darindo', 'ka', 'kuch', 'ilaaj', 'ho', 'sakta', 'hai']",23
Dont hate. You nanhi si jaan. Aur ek tu woh b,no,dont hate nanhi si jaan aur ek tu woh b,"['dont', 'hate', 'nanhi', 'si', 'jaan', 'aur', 'ek', 'tu', 'woh', 'b']",10
mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,yes,mujhe dono se hi nafrat par bjp se mujhe itni nafrat zindagi ise vote nhi dunga kyonki ye party vote ke laayak hi nhi,"['mujhe', 'dono', 'se', 'hi', 'nafrat', 'par', 'bjp', 'se', 'mujhe', 'itni', 'nafrat', 'zindagi', 'ise', 'vote', 'nhi', 'dunga', 'kyonki', 'ye', 'party', 'vote', 'ke', 'laayak', 'hi', 'nhi']",24
Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,no,ye shocked h kya lat padi h ise arshi se jabardastor khana khayegi n zillat ke laddu salman ne bhijwa diye,"['ye', 'shocked', 'h', 'kya', 'lat', 'padi', 'h', 'ise', 'arshi', 'se', 'jabardastor', 'khana', 'khayegi', 'n', 'zillat', 'ke', 'laddu', 'salman', 'ne', 'bhijwa', 'diye']",21
Haha farzi hatred spreading moron @shaileshgam  blocked me.....,no,haha farzi hatred spreading moron USER,"['haha', 'farzi', 'hatred', 'spreading', 'moron', 'USER']",6
ye vidya salman se bhut bdi celebrity h.,no,ye vidya salman se bhut bdi celebrity h,"['ye', 'vidya', 'salman', 'se', 'bhut', 'bdi', 'celebrity', 'h']",8
Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,no,ajkaal usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante haiye nafrat pahelane log apke guru ho sakte mera nahimere liye vivekanand jaise sakshiat jo kahete hindu ya muslim indians brother,"['ajkaal', 'usse', 'achcha', 'kaha', 'jata', 'hai', 'jo', 'dr', 'ahmed', 'ya', 'tarek', 'fatah', 'jaise', 'mahapurusoko', 'dil', 'wo', 'jaan', 'se', 'mante', 'haiye', 'nafrat', 'pahelane', 'log', 'apke', 'guru', 'ho', 'sakte', 'mera', 'nahimere', 'liye', 'vivekanand', 'jaise', 'sakshiat', 'jo', 'kahete', 'hindu', 'ya', 'muslim', 'indians', 'brother']",40
"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",yes,akshra hate hina khan jaise hi usne ghar apne aap ko dikhaya hai respct bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai waah jinko footage chaea wo hina hina karte rahte hai hina kis kis ko palegi show mapni image banao sab,"['akshra', 'hate', 'hina', 'khan', 'jaise', 'hi', 'usne', 'ghar', 'apne', 'aap', 'ko', 'dikhaya', 'hai', 'respct', 'bhai', 'kitna', 'bhi', 'galti', 'karlo', 'bandi', 'apne', 'aapko', 'sahi', 'proof', 'kar', 'deti', 'hai', 'waah', 'jinko', 'footage', 'chaea', 'wo', 'hina', 'hina', 'karte', 'rahte', 'hai', 'hina', 'kis', 'kis', 'ko', 'palegi', 'show', 'mapni', 'image', 'banao', 'sab']",47
Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,yes,salman bahut bda chutiya h sirf shilpa ka side leta h kaaaminaaaaphone pe bhe shilpa se baat kia chutiya hate biased show abe dhang se host kr isbar unfair luvtyagi eyehinakhan ipriyanksharma,"['salman', 'bahut', 'bda', 'chutiya', 'h', 'sirf', 'shilpa', 'ka', 'side', 'leta', 'h', 'kaaaminaaaaphone', 'pe', 'bhe', 'shilpa', 'se', 'baat', 'kia', 'chutiya', 'hate', 'biased', 'show', 'abe', 'dhang', 'se', 'host', 'kr', 'isbar', 'unfair', 'luvtyagi', 'eyehinakhan', 'ipriyanksharma']",32
Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,yes,aayega jab take alia ki shaadi age pass aayegi kyuki alia said ki hoote hi shaadi kargi varun bhi kitna kutta hai natasha ka shaadi ka spna alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,"['aayega', 'jab', 'take', 'alia', 'ki', 'shaadi', 'age', 'pass', 'aayegi', 'kyuki', 'alia', 'said', 'ki', 'hoote', 'hi', 'shaadi', 'kargi', 'varun', 'bhi', 'kitna', 'kutta', 'hai', 'natasha', 'ka', 'shaadi', 'ka', 'spna', 'alia', 'ke', 'saath', 'shaadi', 'ki', 'baat', 'paaki', 'kar', 'ki', 'hate', 'varun', 'alia', 'sid', 'please', 'career', 'pe', 'focus', 'karo', 'aue', 'alia', 'ke', 'banner', 'se', 'film', 'mat', 'karo']",53
